 
                                                                                                                                                                                                                                                                
 
 
Fit Statistics

Target=Category Target Label=Category

   Fit
Statistics    Statistics Label                    Train    Validation       Test

 _AIC_        Akaike's Information Criterion    1511.14          .           .  
 _ASE_        Average Squared Error                0.04         0.04        0.04
 _AVERR_      Average Error Function               0.16         0.20        0.19
 _DFE_        Degrees of Freedom for Error      7315.00          .           .  
 _DFM_        Model Degrees of Freedom            99.00          .           .  
 _DFT_        Total Degrees of Freedom          7414.00          .           .  
 _DIV_        Divisor for ASE                   8088.00      4860.00     3288.00
 _ERR_        Error Function                    1313.14       978.22      623.30
 _FPE_        Final Prediction Error               0.04          .           .  
 _MAX_        Maximum Absolute Error               1.00         1.00        1.00
 _MSE_        Mean Square Error                    0.04         0.04        0.04
 _NOBS_       Sum of Frequencies                 674.00       405.00      274.00
 _NW_         Number of Estimate Weights          99.00          .           .  
 _RASE_       Root Average Sum of Squares          0.19         0.20        0.20
 _RFPE_       Root Final Prediction Error          0.20          .           .  
 _RMSE_       Root Mean Squared Error              0.20         0.20        0.20
 _SBC_        Schwarz's Bayesian Criterion      2195.34          .           .  
 _SSE_        Sum of Squared Errors              305.08       199.30      126.69
 _SUMW_       Sum of Case Weights Times Freq    8088.00      4860.00     3288.00
 _MISC_       Misclassification Rate               0.33         0.35        0.33
 
                                                                                                                                                                                                                                                                
 
 
Classification Table

Data Role=TRAIN Target Variable=Category Target Label=Category

                                                      Target        Outcome     Frequency       Total
Target                    Outcome                   Percentage    Percentage      Count      Percentage

ADVOCATE                  ADVOCATE                    44.6809       36.8421         21         3.11573 
BUSINESS-DEVELOPMENT      ADVOCATE                     4.2553        3.3333          2         0.29674 
DIGITAL-MEDIA             ADVOCATE                     2.1277        2.1277          1         0.14837 
FITNESS                   ADVOCATE                    10.6383        8.6207          5         0.74184 
HEALTHCARE                ADVOCATE                    14.8936       12.2807          7         1.03858 
HR                        ADVOCATE                     2.1277        1.8182          1         0.14837 
INFORMATION-TECHNOLOGY    ADVOCATE                     4.2553        3.3898          2         0.29674 
OTHER                     ADVOCATE                    10.6383        7.9365          5         0.74184 
SALES                     ADVOCATE                     2.1277        1.7241          1         0.14837 
TEACHER                   ADVOCATE                     4.2553        4.0000          2         0.29674 
ADVOCATE                  BUSINESS-DEVELOPMENT         1.4085        1.7544          1         0.14837 
BUSINESS-DEVELOPMENT      BUSINESS-DEVELOPMENT        54.9296       65.0000         39         5.78635 
CONSULTANT                BUSINESS-DEVELOPMENT         5.6338        7.0175          4         0.59347 
DIGITAL-MEDIA             BUSINESS-DEVELOPMENT         4.2254        6.3830          3         0.44510 
FITNESS                   BUSINESS-DEVELOPMENT         5.6338        6.8966          4         0.59347 
HEALTHCARE                BUSINESS-DEVELOPMENT         7.0423        8.7719          5         0.74184 
OTHER                     BUSINESS-DEVELOPMENT        11.2676       12.6984          8         1.18694 
SALES                     BUSINESS-DEVELOPMENT         9.8592       12.0690          7         1.03858 
ADVOCATE                  CONSULTANT                   5.4545        5.2632          3         0.44510 
