 
                                                                                                                                                                                                                                                                
 
 
Fit Statistics

Target=Category Target Label=Category

   Fit
Statistics    Statistics Label                    Train    Validation       Test

 _AIC_        Akaike's Information Criterion    1721.82          .           .  
 _ASE_        Average Squared Error                0.04         0.05        0.04
 _AVERR_      Average Error Function               0.18         0.22        0.23
 _DFE_        Degrees of Freedom for Error      7293.00          .           .  
 _DFM_        Model Degrees of Freedom           121.00          .           .  
 _DFT_        Total Degrees of Freedom          7414.00          .           .  
 _DIV_        Divisor for ASE                   8088.00      4860.00     3288.00
 _ERR_        Error Function                    1479.82      1092.08      741.50
 _FPE_        Final Prediction Error               0.04          .           .  
 _MAX_        Maximum Absolute Error               1.00         1.00        1.00
 _MSE_        Mean Square Error                    0.04         0.05        0.04
 _NOBS_       Sum of Frequencies                 674.00       405.00      274.00
 _NW_         Number of Estimate Weights         121.00          .           .  
 _RASE_       Root Average Sum of Squares          0.20         0.22        0.21
 _RFPE_       Root Final Prediction Error          0.21          .           .  
 _RMSE_       Root Mean Squared Error              0.20         0.22        0.21
 _SBC_        Schwarz's Bayesian Criterion      2558.06          .           .  
 _SSE_        Sum of Squared Errors              333.99       229.67      147.69
 _SUMW_       Sum of Case Weights Times Freq    8088.00      4860.00     3288.00
 _MISC_       Misclassification Rate               0.36         0.41        0.41
 
                                                                                                                                                                                                                                                                
 
 
Classification Table

Data Role=TRAIN Target Variable=Category Target Label=Category

                                                      Target        Outcome     Frequency       Total
Target                    Outcome                   Percentage    Percentage      Count      Percentage

ADVOCATE                  ADVOCATE                    43.8596       43.8596         25         3.70920 
BUSINESS-DEVELOPMENT      ADVOCATE                     3.5088        3.3333          2         0.29674 
CONSULTANT                ADVOCATE                     7.0175        7.0175          4         0.59347 
DESIGNER                  ADVOCATE                     1.7544        1.8868          1         0.14837 
DIGITAL-MEDIA             ADVOCATE                     1.7544        2.1277          1         0.14837 
FITNESS                   ADVOCATE                     3.5088        3.4483          2         0.29674 
HEALTHCARE                ADVOCATE                    14.0351       14.0351          8         1.18694 
HR                        ADVOCATE                     5.2632        5.4545          3         0.44510 
INFORMATION-TECHNOLOGY    ADVOCATE                     1.7544        1.6949          1         0.14837 
OTHER                     ADVOCATE                    12.2807       11.1111          7         1.03858 
SALES                     ADVOCATE                     1.7544        1.7241          1         0.14837 
TEACHER                   ADVOCATE                     3.5088        4.0000          2         0.29674 
ADVOCATE                  BUSINESS-DEVELOPMENT         2.8986        3.5088          2         0.29674 
BUSINESS-DEVELOPMENT      BUSINESS-DEVELOPMENT        52.1739       60.0000         36         5.34125 
CONSULTANT                BUSINESS-DEVELOPMENT        10.1449       12.2807          7         1.03858 
DIGITAL-MEDIA             BUSINESS-DEVELOPMENT         5.7971        8.5106          4         0.59347 
FITNESS                   BUSINESS-DEVELOPMENT         2.8986        3.4483          2         0.29674 
HEALTHCARE                BUSINESS-DEVELOPMENT         7.2464        8.7719          5         0.74184 
OTHER                     BUSINESS-DEVELOPMENT         7.2464        7.9365          5         0.74184 
SALES                     BUSINESS-DEVELOPMENT        10.1449       12.0690          7         1.03858 
TEACHER                   BUSINESS-DEVELOPMENT         1.4493        2.0000          1         0.14837 
ADVOCATE                  CONSULTANT                   5.8824        3.5088          2         0.29674 
BUSINESS-DEVELOPMENT      CONSULTANT                  17.6471       10.0000          6         0.89021 
CONSULTANT                CONSULTANT                  32.3529       19.2982         11         1.63205 
DESIGNER                  CONSULTANT                   2.9412        1.8868          1         0.14837 
DIGITAL-MEDIA             CONSULTANT                   2.9412        2.1277          1         0.14837 
HEALTHCARE                CONSULTANT                   5.8824        3.5088          2         0.29674 
INFORMATION-TECHNOLOGY    CONSULTANT                  20.5882       11.8644          7         1.03858 
OTHER                     CONSULTANT                  11.7647        6.3492          4         0.59347 
BUSINESS-DEVELOPMENT      DESIGNER                     1.9231        1.6667          1         0.14837 
CONSULTANT                DESIGNER                     1.9231        1.7544          1         0.14837 
DESIGNER                  DESIGNER                    84.6154       83.0189         44         6.52819 
DIGITAL-MEDIA             DESIGNER                     3.8462        4.2553          2         0.29674 
HEALTHCARE                DESIGNER                     1.9231        1.7544          1         0.14837 
SALES                     DESIGNER                     5.7692        5.1724          3         0.44510 
BUSINESS-DEVELOPMENT      DIGITAL-MEDIA                2.1739        1.6667          1         0.14837 
CONSULTANT                DIGITAL-MEDIA               13.0435       10.5263          6         0.89021 
DESIGNER                  DIGITAL-MEDIA                2.1739        1.8868          1         0.14837 
DIGITAL-MEDIA             DIGITAL-MEDIA               67.3913       65.9574         31         4.59941 
FITNESS                   DIGITAL-MEDIA                4.3478        3.4483          2         0.29674 
HEALTHCARE                DIGITAL-MEDIA                4.3478        3.5088          2         0.29674 
OTHER                     DIGITAL-MEDIA                2.1739        1.5873          1         0.14837 
SALES                     DIGITAL-MEDIA                4.3478        3.4483          2         0.29674 
ADVOCATE                  FITNESS                     10.1695       10.5263          6         0.89021 
BUSINESS-DEVELOPMENT      FITNESS                      5.0847        5.0000          3         0.44510 
FITNESS                   FITNESS                     71.1864       72.4138         42         6.23145 
OTHER                     FITNESS                      6.7797        6.3492          4         0.59347 
SALES                     FITNESS                      6.7797        6.8966          4         0.59347 
ADVOCATE                  HEALTHCARE                  14.5455       14.0351          8         1.18694 
BUSINESS-DEVELOPMENT      HEALTHCARE                   5.4545        5.0000          3         0.44510 
CONSULTANT                HEALTHCARE                  10.9091       10.5263          6         0.89021 
DIGITAL-MEDIA             HEALTHCARE                   3.6364        4.2553          2         0.29674 
HEALTHCARE                HEALTHCARE                  58.1818       56.1404         32         4.74777 
INFORMATION-TECHNOLOGY    HEALTHCARE                   1.8182        1.6949          1         0.14837 
OTHER                     HEALTHCARE                   3.6364        3.1746          2         0.29674 
SALES                     HEALTHCARE                   1.8182        1.7241          1         0.14837 
ADVOCATE                  HR                           5.2632        5.2632          3         0.44510 
FITNESS                   HR                           1.7544        1.7241          1         0.14837 
HEALTHCARE                HR                           1.7544        1.7544          1         0.14837 
HR                        HR                          89.4737       92.7273         51         7.56677 
OTHER                     HR                           1.7544        1.5873          1         0.14837 
ADVOCATE                  INFORMATION-TECHNOLOGY       1.4085        1.7544          1         0.14837 
CONSULTANT                INFORMATION-TECHNOLOGY      15.4930       19.2982         11         1.63205 
DIGITAL-MEDIA             INFORMATION-TECHNOLOGY       4.2254        6.3830          3         0.44510 
HEALTHCARE                INFORMATION-TECHNOLOGY       5.6338        7.0175          4         0.59347 
INFORMATION-TECHNOLOGY    INFORMATION-TECHNOLOGY      64.7887       77.9661         46         6.82493 
OTHER                     INFORMATION-TECHNOLOGY       7.0423        7.9365          5         0.74184 
SALES                     INFORMATION-TECHNOLOGY       1.4085        1.7241          1         0.14837 
ADVOCATE                  OTHER                        9.2593        8.7719          5         0.74184 
BUSINESS-DEVELOPMENT      OTHER                        5.5556        5.0000          3         0.44510 
CONSULTANT                OTHER                       11.1111       10.5263          6         0.89021 
DESIGNER                  OTHER                        5.5556        5.6604          3         0.44510 
DIGITAL-MEDIA             OTHER                        1.8519        2.1277          1         0.14837 
FITNESS                   OTHER                        3.7037        3.4483          2         0.29674 
HEALTHCARE                OTHER                        1.8519        1.7544          1         0.14837 
INFORMATION-TECHNOLOGY    OTHER                        5.5556        5.0847          3         0.44510 
OTHER                     OTHER                       51.8519       44.4444         28         4.15430 
SALES                     OTHER                        3.7037        3.4483          2         0.29674 
ADVOCATE                  SALES                        4.6875        5.2632          3         0.44510 
BUSINESS-DEVELOPMENT      SALES                        7.8125        8.3333          5         0.74184 
CONSULTANT                SALES                        6.2500        7.0175          4         0.59347 
DESIGNER                  SALES                        4.6875        5.6604          3         0.44510 
DIGITAL-MEDIA             SALES                        1.5625        2.1277          1         0.14837 
FITNESS                   SALES                        6.2500        6.8966          4         0.59347 
HEALTHCARE                SALES                        1.5625        1.7544          1         0.14837 
HR                        SALES                        1.5625        1.8182          1         0.14837 
OTHER                     SALES                        9.3750        9.5238          6         0.89021 
SALES                     SALES                       56.2500       62.0690         36         5.34125 
ADVOCATE                  TEACHER                      3.5714        3.5088          2         0.29674 
CONSULTANT                TEACHER                      1.7857        1.7544          1         0.14837 
DIGITAL-MEDIA             TEACHER                      1.7857        2.1277          1         0.14837 
FITNESS                   TEACHER                      5.3571        5.1724          3         0.44510 
INFORMATION-TECHNOLOGY    TEACHER                      1.7857        1.6949          1         0.14837 
SALES                     TEACHER                      1.7857        1.7241          1         0.14837 
TEACHER                   TEACHER                     83.9286       94.0000         47         6.97329 


Data Role=VALIDATE Target Variable=Category Target Label=Category

                                                      Target        Outcome     Frequency       Total
Target                    Outcome                   Percentage    Percentage      Count      Percentage

ADVOCATE                  ADVOCATE                    46.4286       37.1429         13         3.20988 
CONSULTANT                ADVOCATE                     3.5714        2.8571          1         0.24691 
DIGITAL-MEDIA             ADVOCATE                     3.5714        3.4483          1         0.24691 
FITNESS                   ADVOCATE                     3.5714        2.8571          1         0.24691 
HEALTHCARE                ADVOCATE                    14.2857       12.1212          4         0.98765 
OTHER                     ADVOCATE                    21.4286       15.7895          6         1.48148 
TEACHER                   ADVOCATE                     7.1429        6.4516          2         0.49383 
ADVOCATE                  BUSINESS-DEVELOPMENT         2.3256        2.8571          1         0.24691 
BUSINESS-DEVELOPMENT      BUSINESS-DEVELOPMENT        58.1395       69.4444         25         6.17284 
CONSULTANT                BUSINESS-DEVELOPMENT        16.2791       20.0000          7         1.72840 
DIGITAL-MEDIA             BUSINESS-DEVELOPMENT         2.3256        3.4483          1         0.24691 
FITNESS                   BUSINESS-DEVELOPMENT         2.3256        2.8571          1         0.24691 
HEALTHCARE                BUSINESS-DEVELOPMENT         6.9767        9.0909          3         0.74074 
OTHER                     BUSINESS-DEVELOPMENT         2.3256        2.6316          1         0.24691 
SALES                     BUSINESS-DEVELOPMENT         9.3023       11.7647          4         0.98765 
BUSINESS-DEVELOPMENT      CONSULTANT                  14.2857        5.5556          2         0.49383 
CONSULTANT                CONSULTANT                  35.7143       14.2857          5         1.23457 
DIGITAL-MEDIA             CONSULTANT                   7.1429        3.4483          1         0.24691 
HEALTHCARE                CONSULTANT                  14.2857        6.0606          2         0.49383 
INFORMATION-TECHNOLOGY    CONSULTANT                   7.1429        2.7778          1         0.24691 
OTHER                     CONSULTANT                  14.2857        5.2632          2         0.49383 
SALES                     CONSULTANT                   7.1429        2.9412          1         0.24691 
DESIGNER                  DESIGNER                    83.3333       80.6452         25         6.17284 
FITNESS                   DESIGNER                     3.3333        2.8571          1         0.24691 
SALES                     DESIGNER                     6.6667        5.8824          2         0.49383 
TEACHER                   DESIGNER                     6.6667        6.4516          2         0.49383 
BUSINESS-DEVELOPMENT      DIGITAL-MEDIA                5.5556        5.5556          2         0.49383 
CONSULTANT                DIGITAL-MEDIA               11.1111       11.4286          4         0.98765 
