 
                                                                                                                                                                                                                                                                
 
 
Fit Statistics

Target=Category Target Label=Category

   Fit
Statistics    Statistics Label                    Train    Validation       Test

 _AIC_        Akaike's Information Criterion    1748.79          .           .  
 _ASE_        Average Squared Error                0.04         0.05        0.04
 _AVERR_      Average Error Function               0.19         0.24        0.23
 _DFE_        Degrees of Freedom for Error      7304.00          .           .  
 _DFM_        Model Degrees of Freedom           110.00          .           .  
 _DFT_        Total Degrees of Freedom          7414.00          .           .  
 _DIV_        Divisor for ASE                   8088.00      4860.00     3288.00
 _ERR_        Error Function                    1528.79      1142.19      748.81
 _FPE_        Final Prediction Error               0.04          .           .  
 _MAX_        Maximum Absolute Error               1.00         1.00        1.00
 _MSE_        Mean Square Error                    0.04         0.05        0.04
 _NOBS_       Sum of Frequencies                 674.00       405.00      274.00
 _NW_         Number of Estimate Weights         110.00          .           .  
 _RASE_       Root Average Sum of Squares          0.21         0.22        0.21
 _RFPE_       Root Final Prediction Error          0.21          .           .  
 _RMSE_       Root Mean Squared Error              0.21         0.22        0.21
 _SBC_        Schwarz's Bayesian Criterion      2509.02          .           .  
 _SSE_        Sum of Squared Errors              340.36       231.02      145.62
 _SUMW_       Sum of Case Weights Times Freq    8088.00      4860.00     3288.00
 _MISC_       Misclassification Rate               0.37         0.42        0.40
 
                                                                                                                                                                                                                                                                
 
 
Classification Table

Data Role=TRAIN Target Variable=Category Target Label=Category

                                                      Target        Outcome     Frequency       Total
Target                    Outcome                   Percentage    Percentage      Count      Percentage

ADVOCATE                  ADVOCATE                    50.9804       45.6140         26         3.85757 
BUSINESS-DEVELOPMENT      ADVOCATE                     3.9216        3.3333          2         0.29674 
CONSULTANT                ADVOCATE                     5.8824        5.2632          3         0.44510 
DIGITAL-MEDIA             ADVOCATE                     1.9608        2.1277          1         0.14837 
FITNESS                   ADVOCATE                     1.9608        1.7241          1         0.14837 
HEALTHCARE                ADVOCATE                     9.8039        8.7719          5         0.74184 
HR                        ADVOCATE                     3.9216        3.6364          2         0.29674 
INFORMATION-TECHNOLOGY    ADVOCATE                     1.9608        1.6949          1         0.14837 
OTHER                     ADVOCATE                    13.7255       11.1111          7         1.03858 
SALES                     ADVOCATE                     1.9608        1.7241          1         0.14837 
TEACHER                   ADVOCATE                     3.9216        4.0000          2         0.29674 
BUSINESS-DEVELOPMENT      BUSINESS-DEVELOPMENT        47.8873       56.6667         34         5.04451 
CONSULTANT                BUSINESS-DEVELOPMENT        11.2676       14.0351          8         1.18694 
DESIGNER                  BUSINESS-DEVELOPMENT         1.4085        1.8868          1         0.14837 
DIGITAL-MEDIA             BUSINESS-DEVELOPMENT         5.6338        8.5106          4         0.59347 
FITNESS                   BUSINESS-DEVELOPMENT         5.6338        6.8966          4         0.59347 
HEALTHCARE                BUSINESS-DEVELOPMENT         7.0423        8.7719          5         0.74184 
OTHER                     BUSINESS-DEVELOPMENT         8.4507        9.5238          6         0.89021 
SALES                     BUSINESS-DEVELOPMENT        12.6761       15.5172          9         1.33531 
ADVOCATE                  CONSULTANT                   5.4054        3.5088          2         0.29674 
BUSINESS-DEVELOPMENT      CONSULTANT                  10.8108        6.6667          4         0.59347 
CONSULTANT                CONSULTANT                  32.4324       21.0526         12         1.78042 
DESIGNER                  CONSULTANT                   8.1081        5.6604          3         0.44510 
DIGITAL-MEDIA             CONSULTANT                   5.4054        4.2553          2         0.29674 
HEALTHCARE                CONSULTANT                   2.7027        1.7544          1         0.14837 
